Wed Jun 09 19:25:10 2010

Number of Points = 6000
Depth (nm)	Load (µN)	Time (s)
2606.206226	86.579474	12.183333
2610.089504	86.767991	12.200000
2613.810943	86.984742	12.216667
2617.532382	87.202245	12.233333
2621.254103	87.137070	12.250000
2625.137095	87.612041	12.266667
2628.858531	87.831802	12.283333
2632.418128	88.079772	12.300000
2636.301401	88.273582	12.316667
2640.022835	88.495600	12.333333
2643.906391	88.406164	12.350000
2647.627539	88.914455	12.366667
2651.510809	89.111298	12.383333
2654.908562	89.391204	12.400000
2658.791831	89.589558	12.416667
2662.351422	89.843526	12.433333
2666.396528	90.015973	12.450000
2669.956403	89.985127	12.466667
2674.001221	90.445420	12.483333
2677.399257	90.443045	12.500000
2681.444073	90.905307	12.516667
2685.165498	91.136382	12.533333
2688.886922	91.368213	12.550000
2692.608633	91.313145	12.566667
2696.329767	91.834141	12.583333
2700.213028	92.040850	12.600000
2703.772610	92.303092	12.616667
2707.655869	92.511321	12.633333
2711.215739	92.486298	12.650000
2715.260835	92.668450	12.666667
2718.658576	92.960854	12.683333
2722.541542	93.461338	12.700000
2726.101120	93.728096	12.716667
2730.146213	93.913531	12.733333
2733.705790	94.181800	12.750000
2737.427494	94.133140	12.766667
2741.472585	94.320650	12.783333
2745.193998	94.563619	12.800000
2748.753571	94.834686	12.816667
2752.636821	95.051834	12.833333
2756.196393	95.324410	12.850000
2760.241188	95.807427	12.866667
2763.800759	96.081739	12.883333
2767.360329	96.356803	12.900000
2771.729382	96.203701	12.916667
2774.803435	96.562002	12.933333
2778.848518	96.757183	12.950000
2782.408085	97.035052	12.966667
2786.291328	97.259073	12.983333
2790.012732	97.511158	13.000000
2794.057812	97.709420	13.016667
2797.455831	97.723770	13.033333
2801.338777	98.244695	13.050000
2805.060472	98.205538	13.066667
2809.105254	98.701169	13.083333
2812.341433	98.744915	13.100000
2816.386509	98.947565	13.116667
2820.107907	99.205525	13.133333
2823.667465	99.491510	13.150000
2827.874377	99.669216	13.166667
2831.272391	99.688186	13.183333
2834.993491	100.244989	13.200000
2838.877019	100.183273	13.216667
2842.759955	100.714814	13.233333
2845.833994	101.087075	13.250000
2850.364577	101.214958	13.266667
2853.762589	101.237118	13.283333
2857.645520	101.772626	13.300000
2861.205072	102.066212	13.316667
2865.250435	101.981083	13.333333
2868.809985	102.275970	13.350000
2872.693210	102.517191	13.366667
2876.414895	102.487969	13.383333
2879.812306	103.110766	13.400000
2883.857368	103.327090	13.416667
2887.740890	103.272294	13.433333
2891.138597	103.598723	13.450000
2895.183357	104.116692	13.466667
2898.904739	104.390491	13.483333
2902.464582	104.392241	13.500000
2906.347801	104.640167	13.516667
2910.069482	104.615661	13.533333
2913.466884	105.247021	13.550000
2917.673777	105.442925	13.566667
2921.557294	105.392886	13.583333
2925.278672	105.671612	13.600000
2928.676371	106.005414	13.616667
2932.559585	106.258517	13.633333
2936.442496	106.814354	13.650000
2940.164475	106.492076	13.666667
2943.723707	107.103898	13.683333
2947.445080	107.387229	13.700000
2951.328290	107.644199	13.716667
2955.211499	107.901946	13.733333
2958.771334	107.911471	13.750000
2962.493008	107.894253	13.766667
2966.052235	108.511728	13.783333
2970.259422	108.414260	13.800000
2973.818647	109.033728	13.816667
2977.701852	109.295896	13.833333
2981.423522	109.281406	13.850000
2984.982744	109.903851	13.866667
2988.866252	109.863357	13.883333
2992.587616	110.155489	13.900000
2996.471122	110.115936	13.916667
3000.192179	110.714987	13.933333
3003.752008	110.730689	13.950000
3007.635207	110.998609	13.966667
3011.518405	111.267309	13.983333
3014.916088	111.617982	14.000000
3019.123268	111.527445	14.016667
3022.359111	111.906485	14.033333
3026.242307	112.178059	14.050000
3030.287340	112.423366	14.066667
3034.008695	112.723553	14.083333
3037.730050	113.024512	14.100000
3041.451712	113.018290	14.116667
3045.010920	113.655786	14.133333
3048.570742	113.677686	14.150000
3052.615771	113.927455	14.166667
3056.498960	114.205037	14.183333
3060.058782	114.228415	14.200000
3063.779822	114.843589	14.216667
3067.663319	114.814032	14.233333
3071.060991	115.175525	14.250000
3075.268163	115.092903	14.266667
3078.503685	115.792795	14.283333
3082.549018	115.738291	14.300000
3086.432202	116.021656	14.316667
3090.315385	116.305806	14.333333
3093.875201	116.333774	14.350000
3097.758072	116.930417	14.366667
3101.156049	116.986451	14.383333
3105.039229	117.273492	14.400000
3108.760570	117.588285	14.416667
3112.481911	117.903855	14.433333
3116.365088	118.193245	14.450000
3120.086739	118.197919	14.466667
3123.808390	118.202983	14.483333
3127.367890	118.548163	14.500000
3131.412590	119.126352	14.516667
3135.296077	119.106132	14.533333
3138.855574	119.453643	14.550000
3142.415384	119.488238	14.566667
3146.298242	120.097122	14.583333
